onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.201000	0	Comment	ControlBox is not connected via USB
12.943000	0	attention-getter	S  5
59.067000	0	object	S  3
74.389000	0	object	S  3
89.247000	0	object	S  3
104.706000	0	object	S  3
119.723000	0	object	S  3
134.747000	0	object	S  3
150.397000	0	attention-getter	S  5
162.120000	0	water	S  1
183.263000	0	water	S  1
189.270000	0	water	S  1
197.285000	0	water	S  1
201.275000	0	water	S  1
208.317000	0	water	S  1
224.241000	0	water	S  1
229.778000	0	water	S  1
237.283000	0	water	S  1
247.749000	0	water	S  1
255.245000	0	attention-getter	S  5
268.709000	0	face	S  4
282.942000	0	face	S  4
297.174000	0	face	S  4
313.588000	0	face	S  4
329.421000	0	face	S  4
344.720000	0	face	S  4
359.849000	0	attention-getter	S  5
371.163000	0	speech	S  2
382.789000	0	speech	S  2
393.292000	0	speech	S  2
400.796000	0	speech	S  2
411.297000	0	speech	S  2
420.279000	0	speech	S  2
429.817000	0	speech	S  2
437.321000	0	speech	S  2
446.825000	0	speech	S  2
457.324000	0	speech	S  2
464.303000	0	attention-getter	S  5
474.654000	0	object	S  3
490.107000	0	object	S  3
505.828000	0	object	S  3
520.404000	0	object	S  3
534.621000	0	object	S  3
549.648000	0	object	S  3
565.597000	0	attention-getter	S  5
582.876000	0	water	S  1
592.514000	0	water	S  1
605.029000	0	water	S  1
609.452000	0	water	S  1
617.533000	0	water	S  1
622.037000	0	water	S  1
629.540000	0	water	S  1
640.503000	0	water	S  1
659.548000	0	water	S  1
667.049000	0	water	S  1
676.034000	0	attention-getter	S  5
704.884000	0	face	S  4
720.787000	0	face	S  4
735.829000	0	face	S  4
751.372000	0	face	S  4
765.487000	0	face	S  4
781.667000	0	face	S  4
795.915000	0	attention-getter	S  5
819.741000	0	speech	S  2
829.887000	0	speech	S  2
838.893000	0	speech	S  2
847.904000	0	speech	S  2
859.374000	0	speech	S  2
871.374000	0	speech	S  2
879.903000	0	speech	S  2
888.389000	0	speech	S  2
897.376000	0	speech	S  2
906.906000	0	speech	S  2
913.865000	0	attention-getter	S  5
958.980000	0	experimenter-pause	S  6
1236.151000	0	attention-getter	S  5
1289.143000	0	object	S  3
1304.480000	0	object	S  3
1318.627000	0	object	S  3
1332.835000	0	object	S  3
1348.139000	0	object	S  3
1364.055000	0	object	S  3
1379.695000	0	attention-getter	S  5
1392.560000	0	water	S  1
1402.238000	0	water	S  1
1410.673000	0	water	S  1
1420.184000	0	water	S  1
1431.692000	0	water	S  1
1441.198000	0	water	S  1
1450.249000	0	water	S  1
1454.205000	0	water	S  1
1461.712000	0	water	S  1
1474.698000	0	water	S  1
1485.682000	0	attention-getter	S  5
1502.369000	0	face	S  4
1517.213000	0	face	S  4
1533.557000	0	face	S  4
1548.229000	0	face	S  4
1563.048000	0	face	S  4
1578.460000	0	face	S  4
1593.345000	0	attention-getter	S  5
1619.905000	0	speech	S  2
1627.500000	0	speech	S  2
1635.003000	0	speech	S  2
1643.011000	0	speech	S  2
1650.018000	0	speech	S  2
1660.525000	0	speech	S  2
1670.612000	0	speech	S  2
1683.042000	0	speech	S  2
1692.049000	0	speech	S  2
1700.557000	0	speech	S  2
1713.089000	0	attention-getter	S  5
1747.862000	0	experimenter-pause	S  6
1935.377000	0	attention-getter	S  5
1974.239000	0	object	S  3
1989.637000	0	object	S  3
2004.228000	0	object	S  3
2018.516000	0	object	S  3
2033.070000	0	object	S  3
2048.884000	0	object	S  3
2065.206000	0	attention-getter	S  5
2101.937000	0	water	S  1
2113.101000	0	water	S  1
2120.525000	0	water	S  1
2130.530000	0	water	S  1
2137.538000	0	water	S  1
2144.643000	0	water	S  1
2158.557000	0	water	S  1
2171.645000	0	water	S  1
2177.064000	0	water	S  1
2185.573000	0	water	S  1
2194.090000	0	attention-getter	S  5
2218.631000	0	face	S  4
2234.589000	0	face	S  4
2249.655000	0	face	S  4
2265.063000	0	face	S  4
2279.570000	0	face	S  4
2295.007000	0	face	S  4
2309.473000	0	attention-getter	S  5
2322.098000	0	speech	S  2
2328.757000	0	speech	S  2
2341.269000	0	speech	S  2
2355.192000	0	speech	S  2
2364.715000	0	speech	S  2
2374.705000	0	speech	S  2
2382.210000	0	speech	S  2
2390.719000	0	speech	S  2
2399.724000	0	speech	S  2
2408.808000	0	speech	S  2
2415.244000	0	attention-getter	S  5
2461.859000	0	experimenter-pause	S  6
