onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
4.916000	0	face	S  4
21.299000	0	face	S  4
35.858000	0	face	S  4
51.089000	0	face	S  4
66.587000	0	face	S  4
80.952000	0	face	S  4
95.991000	0	attention-getter	S  5
107.725000	0	speech	S  2
115.457000	0	speech	S  2
121.335000	0	speech	S  2
130.797000	0	speech	S  2
140.839000	0	speech	S  2
150.404000	0	speech	S  2
162.378000	0	speech	S  2
172.864000	0	speech	S  2
181.341000	0	speech	S  2
189.884000	0	speech	S  2
200.900000	0	attention-getter	S  5
212.917000	0	object	S  3
227.154000	0	object	S  3
242.012000	0	object	S  3
256.938000	0	object	S  3
273.350000	0	object	S  3
288.033000	0	object	S  3
304.048000	0	attention-getter	S  5
314.097000	0	water	S  1
327.742000	0	water	S  1
339.239000	0	water	S  1
351.743000	0	water	S  1
359.708000	0	water	S  1
367.755000	0	water	S  1
375.287000	0	water	S  1
382.226000	0	water	S  1
391.225000	0	water	S  1
397.796000	0	water	S  1
406.715000	0	attention-getter	S  5
423.230000	0	face	S  4
438.032000	0	face	S  4
453.193000	0	face	S  4
468.489000	0	face	S  4
483.924000	0	face	S  4
499.239000	0	face	S  4
514.418000	0	attention-getter	S  5
533.665000	0	speech	S  2
541.336000	0	speech	S  2
546.767000	0	speech	S  2
556.810000	0	speech	S  2
568.344000	0	speech	S  2
577.314000	0	speech	S  2
586.345000	0	speech	S  2
596.290000	0	speech	S  2
604.814000	0	speech	S  2
612.323000	0	speech	S  2
626.280000	0	attention-getter	S  5
635.765000	0	object	S  3
651.057000	0	object	S  3
666.816000	0	object	S  3
680.897000	0	object	S  3
695.744000	0	object	S  3
711.371000	0	object	S  3
726.659000	0	attention-getter	S  5
744.588000	0	water	S  1
756.184000	0	water	S  1
768.762000	0	water	S  1
773.266000	0	water	S  1
783.185000	0	water	S  1
790.724000	0	water	S  1
799.687000	0	water	S  1
805.231000	0	water	S  1
817.230000	0	water	S  1
828.264000	0	water	S  1
837.760000	0	attention-getter	S  5
854.041000	0	face	S  4
868.731000	0	face	S  4
884.434000	0	face	S  4
898.438000	0	face	S  4
913.115000	0	face	S  4
929.149000	0	face	S  4
944.929000	0	attention-getter	S  5
956.640000	0	speech	S  2
969.278000	0	speech	S  2
977.279000	0	speech	S  2
985.832000	0	speech	S  2
995.805000	0	speech	S  2
1006.830000	0	speech	S  2
1015.822000	0	speech	S  2
1023.799000	0	speech	S  2
1033.823000	0	speech	S  2
1041.789000	0	speech	S  2
1050.827000	0	attention-getter	S  5
1063.288000	0	object	S  3
1077.371000	0	object	S  3
1093.010000	0	object	S  3
1108.891000	0	object	S  3
1123.548000	0	object	S  3
1139.611000	0	object	S  3
1153.928000	0	attention-getter	S  5
1168.179000	0	water	S  1
1183.857000	0	water	S  1
1204.857000	0	water	S  1
1210.845000	0	water	S  1
1217.900000	0	water	S  1
1225.404000	0	water	S  1
1234.753000	0	water	S  1
1241.760000	0	water	S  1
1250.264000	0	water	S  1
1255.269000	0	water	S  1
1261.805000	0	attention-getter	S  5
1283.400000	0	face	S  4
1299.828000	0	face	S  4
1314.075000	0	face	S  4
1328.669000	0	face	S  4
1344.244000	0	face	S  4
1359.697000	0	face	S  4
1374.530000	0	attention-getter	S  5
1388.273000	0	speech	S  2
1394.869000	0	speech	S  2
1403.874000	0	speech	S  2
1414.384000	0	speech	S  2
1424.890000	0	speech	S  2
1434.968000	0	speech	S  2
1444.405000	0	speech	S  2
1449.909000	0	speech	S  2
1459.418000	0	speech	S  2
1471.436000	0	speech	S  2
1480.958000	0	attention-getter	S  5
1491.859000	0	object	S  3
1506.401000	0	object	S  3
1521.559000	0	object	S  3
1537.301000	0	object	S  3
1551.523000	0	object	S  3
1567.581000	0	object	S  3
1582.595000	0	attention-getter	S  5
1600.624000	0	water	S  1
1609.273000	0	water	S  1
1618.280000	0	water	S  1
1623.786000	0	water	S  1
1634.214000	0	water	S  1
1644.715000	0	water	S  1
1655.723000	0	water	S  1
1663.231000	0	water	S  1
1671.239000	0	water	S  1
1683.248000	0	water	S  1
1694.774000	0	attention-getter	S  5
1713.881000	0	face	S  4
1729.151000	0	face	S  4
1743.538000	0	face	S  4
1758.674000	0	face	S  4
1773.869000	0	face	S  4
1789.611000	0	face	S  4
1804.550000	0	attention-getter	S  5
1825.026000	0	speech	S  2
1833.183000	0	speech	S  2
1839.692000	0	speech	S  2
1850.616000	0	speech	S  2
1859.196000	0	speech	S  2
1867.740000	0	speech	S  2
1877.135000	0	speech	S  2
1887.647000	0	speech	S  2
1902.656000	0	speech	S  2
1911.660000	0	speech	S  2
1919.180000	0	attention-getter	S  5
1952.817000	0	object	S  3
1968.094000	0	object	S  3
1984.083000	0	object	S  3
1999.041000	0	object	S  3
2012.691000	0	object	S  3
2028.397000	0	object	S  3
2043.762000	0	attention-getter	S  5
2057.607000	0	water	S  1
2067.772000	0	water	S  1
2073.280000	0	water	S  1
2084.205000	0	water	S  1
2095.312000	0	water	S  1
2104.219000	0	water	S  1
2113.319000	0	water	S  1
2122.323000	0	water	S  1
2129.244000	0	water	S  1
2141.249000	0	water	S  1
2150.758000	0	attention-getter	S  5
2170.803000	0	face	S  4
2186.273000	0	face	S  4
2200.477000	0	face	S  4
2216.271000	0	face	S  4
2232.145000	0	face	S  4
2246.976000	0	face	S  4
2261.561000	0	attention-getter	S  5
2273.928000	0	speech	S  2
2282.101000	0	speech	S  2
2294.107000	0	speech	S  2
2301.616000	0	speech	S  2
2311.644000	0	speech	S  2
2321.049000	0	speech	S  2
2331.051000	0	speech	S  2
2340.059000	0	speech	S  2
2348.071000	0	speech	S  2
2360.094000	0	speech	S  2
2367.576000	0	attention-getter	S  5
2380.369000	0	object	S  3
2395.770000	0	object	S  3
2410.647000	0	object	S  3
2425.636000	0	object	S  3
2441.838000	0	object	S  3
2455.622000	0	object	S  3
2471.019000	0	attention-getter	S  5
2485.028000	0	water	S  1
2492.172000	0	water	S  1
2502.686000	0	water	S  1
2514.697000	0	water	S  1
2529.699000	0	water	S  1
2533.707000	0	water	S  1
2541.211000	0	water	S  1
2559.719000	0	water	S  1
2564.225000	0	water	S  1
2570.732000	0	water	S  1
2578.139000	0	attention-getter	S  5
2596.461000	0	face	S  4
2611.630000	0	face	S  4
2627.219000	0	face	S  4
2641.363000	0	face	S  4
2656.451000	0	face	S  4
2672.432000	0	face	S  4
2686.981000	0	attention-getter	S  5
2691.384000	0	experimenter-pause	S  6
