onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
25.658000	0	attention-getter	S  5
47.681000	0	water	S  1
59.341000	0	water	S  1
69.017000	0	water	S  1
78.349000	0	water	S  1
85.361000	0	water	S  1
94.330000	0	water	S  1
104.862000	0	water	S  1
113.852000	0	water	S  1
118.853000	0	water	S  1
128.319000	0	water	S  1
141.382000	0	attention-getter	S  5
162.891000	0	object	S  3
177.264000	0	object	S  3
191.998000	0	object	S  3
208.011000	0	object	S  3
222.542000	0	object	S  3
239.086000	0	object	S  3
253.901000	0	attention-getter	S  5
264.194000	0	speech	S  2
270.318000	0	speech	S  2
280.328000	0	speech	S  2
291.352000	0	speech	S  2
304.344000	0	speech	S  2
313.356000	0	speech	S  2
322.859000	0	speech	S  2
330.824000	0	speech	S  2
338.792000	0	speech	S  2
347.329000	0	speech	S  2
356.864000	0	attention-getter	S  5
380.708000	0	face	S  4
395.225000	0	face	S  4
410.657000	0	face	S  4
425.538000	0	face	S  4
440.543000	0	face	S  4
457.157000	0	face	S  4
472.161000	0	attention-getter	S  5
486.324000	0	water	S  1
492.473000	0	water	S  1
501.495000	0	water	S  1
514.439000	0	water	S  1
520.443000	0	water	S  1
538.442000	0	water	S  1
543.522000	0	water	S  1
551.948000	0	water	S  1
561.482000	0	water	S  1
569.015000	0	water	S  1
579.521000	0	attention-getter	S  5
592.654000	0	object	S  3
607.043000	0	object	S  3
621.149000	0	object	S  3
637.317000	0	object	S  3
651.744000	0	object	S  3
667.654000	0	object	S  3
683.467000	0	attention-getter	S  5
699.485000	0	speech	S  2
708.057000	0	speech	S  2
719.133000	0	speech	S  2
725.073000	0	speech	S  2
735.099000	0	speech	S  2
744.106000	0	speech	S  2
754.140000	0	speech	S  2
763.611000	0	speech	S  2
775.146000	0	speech	S  2
785.161000	0	speech	S  2
792.666000	0	attention-getter	S  5
806.997000	0	face	S  4
821.677000	0	face	S  4
837.027000	0	face	S  4
851.831000	0	face	S  4
866.388000	0	face	S  4
882.603000	0	face	S  4
898.018000	0	attention-getter	S  5
913.434000	0	water	S  1
924.095000	0	water	S  1
933.567000	0	water	S  1
944.072000	0	water	S  1
954.575000	0	water	S  1
959.659000	0	water	S  1
968.524000	0	water	S  1
977.054000	0	water	S  1
991.090000	0	water	S  1
1001.078000	0	water	S  1
1006.578000	0	attention-getter	S  5
1021.786000	0	object	S  3
1036.651000	0	object	S  3
1052.549000	0	object	S  3
1067.233000	0	object	S  3
1081.580000	0	object	S  3
1096.919000	0	object	S  3
1112.585000	0	attention-getter	S  5
1140.095000	0	speech	S  2
1147.266000	0	speech	S  2
1155.781000	0	speech	S  2
1165.221000	0	speech	S  2
1173.737000	0	speech	S  2
1184.795000	0	speech	S  2
1193.245000	0	speech	S  2
1202.250000	0	speech	S  2
1209.275000	0	speech	S  2
1219.781000	0	speech	S  2
1233.222000	0	attention-getter	S  5
1244.857000	0	face	S  4
1259.268000	0	face	S  4
1273.841000	0	face	S  4
1289.265000	0	face	S  4
1304.190000	0	face	S  4
1319.350000	0	face	S  4
1335.537000	0	attention-getter	S  5
1349.009000	0	water	S  1
1355.110000	0	water	S  1
1364.227000	0	water	S  1
1372.193000	0	water	S  1
1381.627000	0	water	S  1
1387.135000	0	water	S  1
1395.739000	0	water	S  1
1404.650000	0	water	S  1
1414.655000	0	water	S  1
1428.670000	0	water	S  1
1442.117000	0	attention-getter	S  5
1465.082000	0	object	S  3
1481.100000	0	object	S  3
1495.813000	0	object	S  3
1510.485000	0	object	S  3
1527.008000	0	object	S  3
1541.556000	0	object	S  3
1556.103000	0	attention-getter	S  5
1569.550000	0	speech	S  2
1581.189000	0	speech	S  2
1588.196000	0	speech	S  2
1596.200000	0	speech	S  2
1605.208000	0	speech	S  2
1614.633000	0	speech	S  2
1623.164000	0	speech	S  2
1631.146000	0	speech	S  2
1644.157000	0	speech	S  2
1654.160000	0	speech	S  2
1662.692000	0	attention-getter	S  5
1673.909000	0	face	S  4
1688.220000	0	face	S  4
1703.305000	0	face	S  4
1718.837000	0	face	S  4
1734.211000	0	face	S  4
1748.873000	0	face	S  4
1764.662000	0	attention-getter	S  5
1780.143000	0	water	S  1
1792.367000	0	water	S  1
1802.267000	0	water	S  1
1812.774000	0	water	S  1
1820.866000	0	water	S  1
1827.787000	0	water	S  1
1837.793000	0	water	S  1
1849.803000	0	water	S  1
1859.310000	0	water	S  1
1869.233000	0	water	S  1
1873.334000	0	attention-getter	S  5
1916.693000	0	object	S  3
1932.483000	0	object	S  3
1948.371000	0	object	S  3
1962.490000	0	object	S  3
1977.635000	0	object	S  3
1992.155000	0	object	S  3
2007.521000	0	attention-getter	S  5
2021.984000	0	speech	S  2
2029.098000	0	speech	S  2
2038.107000	0	speech	S  2
2049.614000	0	speech	S  2
2061.123000	0	speech	S  2
2070.128000	0	speech	S  2
2079.635000	0	speech	S  2
2087.641000	0	speech	S  2
2096.653000	0	speech	S  2
2106.660000	0	speech	S  2
2115.669000	0	attention-getter	S  5
2128.882000	0	face	S  4
2144.134000	0	face	S  4
2159.098000	0	face	S  4
2174.588000	0	face	S  4
2189.893000	0	face	S  4
2204.420000	0	face	S  4
2219.778000	0	attention-getter	S  5
2244.898000	0	water	S  1
2250.007000	0	water	S  1
2256.517000	0	water	S  1
2264.609000	0	water	S  1
2272.107000	0	water	S  1
2279.612000	0	water	S  1
2287.544000	0	water	S  1
2296.049000	0	water	S  1
2318.062000	0	water	S  1
2333.569000	0	water	S  1
2338.574000	0	attention-getter	S  5
2352.509000	0	object	S  3
2368.164000	0	object	S  3
2382.512000	0	object	S  3
2398.550000	0	object	S  3
2413.389000	0	object	S  3
2428.906000	0	object	S  3
2443.130000	0	attention-getter	S  5
2473.931000	0	speech	S  2
2480.094000	0	speech	S  2
2490.600000	0	speech	S  2
2500.106000	0	speech	S  2
2507.116000	0	speech	S  2
2514.625000	0	speech	S  2
2523.555000	0	speech	S  2
2537.558000	0	speech	S  2
2548.066000	0	speech	S  2
2557.570000	0	speech	S  2
2566.566000	0	attention-getter	S  5
2592.934000	0	face	S  4
2607.188000	0	face	S  4
2622.819000	0	face	S  4
2638.858000	0	face	S  4
2654.964000	0	face	S  4
2669.304000	0	face	S  4
2683.738000	0	attention-getter	S  5
2694.039000	0	water	S  1
2703.169000	0	water	S  1
2708.184000	0	water	S  1
2721.187000	0	water	S  1
2730.691000	0	water	S  1
2737.704000	0	water	S  1
2746.704000	0	water	S  1
2756.211000	0	water	S  1
2765.219000	0	water	S  1
2776.724000	0	water	S  1
2787.221000	0	attention-getter	S  5
2801.971000	0	object	S  3
2816.853000	0	object	S  3
2831.699000	0	object	S  3
2847.198000	0	object	S  3
2862.542000	0	object	S  3
2877.679000	0	object	S  3
2892.697000	0	attention-getter	S  5
2911.836000	0	speech	S  2
2919.997000	0	speech	S  2
2930.005000	0	speech	S  2
2939.509000	0	speech	S  2
2947.516000	0	speech	S  2
2956.524000	0	speech	S  2
2963.033000	0	speech	S  2
2976.042000	0	speech	S  2
2985.459000	0	speech	S  2
2993.971000	0	speech	S  2
3004.954000	0	attention-getter	S  5
3019.042000	0	face	S  4
3033.564000	0	face	S  4
3048.461000	0	face	S  4
3064.558000	0	face	S  4
3080.787000	0	face	S  4
3095.238000	0	face	S  4
3109.604000	0	attention-getter	S  5
3131.191000	0	water	S  1
3144.323000	0	water	S  1
3154.344000	0	water	S  1
3164.846000	0	water	S  1
3173.845000	0	water	S  1
3180.356000	0	water	S  1
3198.363000	0	water	S  1
3205.869000	0	water	S  1
3214.378000	0	water	S  1
3220.381000	0	water	S  1
3225.358000	0	attention-getter	S  5
3255.925000	0	object	S  3
3271.264000	0	object	S  3
3286.631000	0	object	S  3
3300.518000	0	object	S  3
3316.405000	0	object	S  3
3331.008000	0	object	S  3
3346.463000	0	attention-getter	S  5
