onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
44.038000	0	attention-getter	S  5
63.758000	0	water	S  1
70.906000	0	water	S  1
81.045000	0	water	S  1
91.883000	0	water	S  1
101.922000	0	water	S  1
112.866000	0	water	S  1
121.389000	0	water	S  1
133.379000	0	water	S  1
137.894000	0	water	S  1
146.411000	0	water	S  1
157.904000	0	attention-getter	S  5
179.231000	0	object	S  3
195.849000	0	object	S  3
210.397000	0	object	S  3
225.126000	0	object	S  3
240.211000	0	object	S  3
255.682000	0	object	S  3
270.302000	0	attention-getter	S  5
298.239000	0	speech	S  2
305.915000	0	speech	S  2
313.889000	0	speech	S  2
324.370000	0	speech	S  2
335.899000	0	speech	S  2
347.333000	0	speech	S  2
357.375000	0	speech	S  2
367.875000	0	speech	S  2
373.880000	0	speech	S  2
382.368000	0	speech	S  2
390.898000	0	attention-getter	S  5
404.988000	0	face	S  4
419.210000	0	face	S  4
434.066000	0	face	S  4
450.430000	0	face	S  4
465.906000	0	face	S  4
481.003000	0	face	S  4
496.010000	0	attention-getter	S  5
516.070000	0	water	S  1
525.696000	0	water	S  1
530.203000	0	water	S  1
539.762000	0	water	S  1
549.711000	0	water	S  1
558.231000	0	water	S  1
568.733000	0	water	S  1
577.165000	0	water	S  1
588.696000	0	water	S  1
596.190000	0	water	S  1
608.725000	0	attention-getter	S  5
624.879000	0	object	S  3
638.963000	0	object	S  3
654.098000	0	object	S  3
668.978000	0	object	S  3
685.309000	0	object	S  3
699.578000	0	object	S  3
715.668000	0	attention-getter	S  5
733.549000	0	speech	S  2
746.727000	0	speech	S  2
754.189000	0	speech	S  2
763.115000	0	speech	S  2
772.161000	0	speech	S  2
781.687000	0	speech	S  2
787.746000	0	speech	S  2
797.701000	0	speech	S  2
809.661000	0	speech	S  2
818.666000	0	speech	S  2
826.200000	0	attention-getter	S  5
845.397000	0	face	S  4
860.650000	0	face	S  4
875.842000	0	face	S  4
890.423000	0	face	S  4
904.887000	0	face	S  4
919.980000	0	face	S  4
936.276000	0	attention-getter	S  5
957.185000	0	water	S  1
963.863000	0	water	S  1
985.306000	0	water	S  1
991.837000	0	water	S  1
999.364000	0	water	S  1
1016.352000	0	water	S  1
1022.375000	0	water	S  1
1032.382000	0	water	S  1
1037.825000	0	water	S  1
1045.873000	0	water	S  1
1050.941000	0	attention-getter	S  5
1083.139000	0	object	S  3
1098.876000	0	object	S  3
1113.862000	0	object	S  3
1128.658000	0	object	S  3
1142.867000	0	object	S  3
1158.607000	0	object	S  3
1174.048000	0	attention-getter	S  5
1193.409000	0	speech	S  2
1200.582000	0	speech	S  2
1209.022000	0	speech	S  2
1222.525000	0	speech	S  2
1231.034000	0	speech	S  2
1240.040000	0	speech	S  2
1251.049000	0	speech	S  2
1262.554000	0	speech	S  2
1269.061000	0	speech	S  2
1278.067000	0	speech	S  2
1286.520000	0	attention-getter	S  5
1307.707000	0	face	S  4
1322.391000	0	face	S  4
1337.268000	0	face	S  4
1352.128000	0	face	S  4
1368.176000	0	face	S  4
1382.408000	0	face	S  4
1398.345000	0	attention-getter	S  5
1417.649000	0	water	S  1
1424.257000	0	water	S  1
1434.263000	0	water	S  1
1443.770000	0	water	S  1
1450.775000	0	water	S  1
1464.284000	0	water	S  1
1472.292000	0	water	S  1
1481.304000	0	water	S  1
1496.310000	0	water	S  1
1506.318000	0	water	S  1
1511.260000	0	attention-getter	S  5
1531.986000	0	object	S  3
1547.280000	0	object	S  3
1562.739000	0	object	S  3
1576.654000	0	object	S  3
1590.929000	0	object	S  3
1606.810000	0	object	S  3
1622.648000	0	attention-getter	S  5
1642.593000	0	speech	S  2
1653.671000	0	speech	S  2
1662.773000	0	speech	S  2
1672.802000	0	speech	S  2
1680.689000	0	speech	S  2
1688.699000	0	speech	S  2
1699.205000	0	speech	S  2
1708.711000	0	speech	S  2
1717.231000	0	speech	S  2
1725.316000	0	speech	S  2
1735.753000	0	attention-getter	S  5
1756.685000	0	face	S  4
1771.507000	0	face	S  4
1786.795000	0	face	S  4
1803.051000	0	face	S  4
1817.895000	0	face	S  4
1832.718000	0	face	S  4
1847.456000	0	attention-getter	S  5
1866.141000	0	water	S  1
1873.247000	0	water	S  1
1886.758000	0	water	S  1
1895.764000	0	water	S  1
1904.769000	0	water	S  1
1915.780000	0	water	S  1
1926.786000	0	water	S  1
1934.289000	0	water	S  1
1938.298000	0	water	S  1
1949.302000	0	water	S  1
1959.321000	0	attention-getter	S  5
1975.421000	0	object	S  3
1990.431000	0	object	S  3
2004.777000	0	object	S  3
2021.210000	0	object	S  3
2035.971000	0	object	S  3
2050.419000	0	object	S  3
2066.164000	0	attention-getter	S  5
2084.530000	0	speech	S  2
2093.164000	0	speech	S  2
2106.164000	0	speech	S  2
2114.170000	0	speech	S  2
2122.177000	0	speech	S  2
2132.687000	0	speech	S  2
2143.193000	0	speech	S  2
2153.698000	0	speech	S  2
2160.204000	0	speech	S  2
2169.713000	0	speech	S  2
2177.645000	0	attention-getter	S  5
2194.704000	0	face	S  4
2209.241000	0	face	S  4
2225.074000	0	face	S  4
2241.336000	0	face	S  4
2255.198000	0	face	S  4
2269.534000	0	face	S  4
2285.878000	0	attention-getter	S  5
2304.630000	0	water	S  1
2323.241000	0	water	S  1
2331.244000	0	water	S  1
2338.749000	0	water	S  1
2343.753000	0	water	S  1
2351.770000	0	water	S  1
2365.271000	0	water	S  1
2373.780000	0	water	S  1
2386.283000	0	water	S  1
2390.787000	0	water	S  1
2397.793000	0	attention-getter	S  5
2417.385000	0	object	S  3
2431.999000	0	object	S  3
2447.632000	0	object	S  3
2463.012000	0	object	S  3
2477.583000	0	object	S  3
2493.257000	0	object	S  3
2507.829000	0	attention-getter	S  5
2527.076000	0	speech	S  2
2535.224000	0	speech	S  2
2543.730000	0	speech	S  2
2552.239000	0	speech	S  2
2562.746000	0	speech	S  2
2572.253000	0	speech	S  2
2578.258000	0	speech	S  2
2586.768000	0	speech	S  2
2595.699000	0	speech	S  2
2609.205000	0	speech	S  2
2620.697000	0	attention-getter	S  5
2639.686000	0	face	S  4
2654.161000	0	face	S  4
2669.353000	0	face	S  4
2685.767000	0	face	S  4
2701.140000	0	face	S  4
2715.517000	0	face	S  4
2730.291000	0	attention-getter	S  5
2748.194000	0	water	S  1
2758.805000	0	water	S  1
2765.816000	0	water	S  1
2776.820000	0	water	S  1
2785.324000	0	water	S  1
2789.833000	0	water	S  1
2801.340000	0	water	S  1
2813.351000	0	water	S  1
2823.357000	0	water	S  1
2833.364000	0	water	S  1
2841.851000	0	attention-getter	S  5
2852.031000	0	experimenter-pause	S  6
