onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
62.695000	0	attention-getter	S  5
88.685000	0	object	S  3
104.170000	0	object	S  3
119.472000	0	object	S  3
134.800000	0	object	S  3
149.631000	0	object	S  3
164.816000	0	object	S  3
180.100000	0	attention-getter	S  5
196.558000	0	water	S  1
208.155000	0	water	S  1
218.157000	0	water	S  1
225.683000	0	water	S  1
230.195000	0	water	S  1
244.731000	0	water	S  1
249.690000	0	water	S  1
257.736000	0	water	S  1
264.674000	0	water	S  1
271.690000	0	water	S  1
288.683000	0	attention-getter	S  5
302.109000	0	face	S  4
317.679000	0	face	S  4
333.612000	0	face	S  4
348.570000	0	face	S  4
363.105000	0	face	S  4
379.317000	0	face	S  4
393.744000	0	attention-getter	S  5
406.095000	0	speech	S  2
415.256000	0	speech	S  2
421.746000	0	speech	S  2
431.770000	0	speech	S  2
441.696000	0	speech	S  2
451.735000	0	speech	S  2
461.729000	0	speech	S  2
469.195000	0	speech	S  2
477.240000	0	speech	S  2
486.244000	0	speech	S  2
499.831000	0	attention-getter	S  5
516.450000	0	object	S  3
531.298000	0	object	S  3
546.875000	0	object	S  3
562.207000	0	object	S  3
577.221000	0	object	S  3
593.125000	0	object	S  3
607.365000	0	attention-getter	S  5
623.909000	0	water	S  1
628.033000	0	water	S  1
637.103000	0	water	S  1
647.508000	0	water	S  1
657.060000	0	water	S  1
667.008000	0	water	S  1
676.013000	0	water	S  1
689.055000	0	water	S  1
698.521000	0	water	S  1
711.553000	0	water	S  1
717.566000	0	attention-getter	S  5
728.583000	0	face	S  4
744.455000	0	face	S  4
760.372000	0	face	S  4
775.009000	0	face	S  4
790.522000	0	face	S  4
805.988000	0	face	S  4
819.610000	0	attention-getter	S  5
836.757000	0	speech	S  2
846.414000	0	speech	S  2
851.904000	0	speech	S  2
861.415000	0	speech	S  2
873.422000	0	speech	S  2
882.423000	0	speech	S  2
891.891000	0	speech	S  2
899.944000	0	speech	S  2
908.322000	0	speech	S  2
918.864000	0	speech	S  2
929.880000	0	attention-getter	S  5
944.873000	0	object	S  3
959.508000	0	object	S  3
974.546000	0	object	S  3
991.031000	0	object	S  3
1006.229000	0	object	S  3
1021.488000	0	object	S  3
1036.020000	0	attention-getter	S  5
1049.060000	0	water	S  1
1063.683000	0	water	S  1
1074.239000	0	water	S  1
1083.734000	0	water	S  1
1090.199000	0	water	S  1
1098.641000	0	water	S  1
1108.131000	0	water	S  1
1117.185000	0	water	S  1
1131.732000	0	water	S  1
1136.680000	0	water	S  1
1142.696000	0	attention-getter	S  5
1165.949000	0	face	S  4
1182.158000	0	face	S  4
1196.472000	0	face	S  4
1211.803000	0	face	S  4
1227.786000	0	face	S  4
1242.153000	0	face	S  4
1256.620000	0	attention-getter	S  5
1271.563000	0	speech	S  2
1278.171000	0	speech	S  2
1289.178000	0	speech	S  2
1297.183000	0	speech	S  2
1306.690000	0	speech	S  2
1316.195000	0	speech	S  2
1322.205000	0	speech	S  2
1336.211000	0	speech	S  2
1346.135000	0	speech	S  2
1355.145000	0	speech	S  2
1364.682000	0	attention-getter	S  5
1379.413000	0	object	S  3
1393.530000	0	object	S  3
1409.791000	0	object	S  3
1424.334000	0	object	S  3
1440.631000	0	object	S  3
1455.307000	0	object	S  3
1470.236000	0	attention-getter	S  5
1484.324000	0	water	S  1
1488.408000	0	water	S  1
1510.920000	0	water	S  1
1516.925000	0	water	S  1
1524.006000	0	water	S  1
1530.008000	0	water	S  1
1538.443000	0	water	S  1
1546.949000	0	water	S  1
1562.958000	0	water	S  1
1568.560000	0	water	S  1
1576.496000	0	attention-getter	S  5
1601.911000	0	face	S  4
1616.471000	0	face	S  4
1631.684000	0	face	S  4
1647.186000	0	face	S  4
1662.925000	0	face	S  4
1677.518000	0	face	S  4
1692.689000	0	attention-getter	S  5
1707.901000	0	speech	S  2
1716.988000	0	speech	S  2
1726.494000	0	speech	S  2
1733.999000	0	speech	S  2
1742.576000	0	speech	S  2
1751.578000	0	speech	S  2
1761.523000	0	speech	S  2
1773.529000	0	speech	S  2
1782.032000	0	speech	S  2
1789.542000	0	speech	S  2
1801.069000	0	attention-getter	S  5
1812.221000	0	object	S  3
1826.575000	0	object	S  3
1842.643000	0	object	S  3
1857.515000	0	object	S  3
1873.686000	0	object	S  3
1888.489000	0	object	S  3
1903.094000	0	attention-getter	S  5
1917.579000	0	water	S  1
1922.718000	0	water	S  1
1935.729000	0	water	S  1
1944.245000	0	water	S  1
1952.244000	0	water	S  1
1962.252000	0	water	S  1
1974.173000	0	water	S  1
1981.678000	0	water	S  1
1993.188000	0	water	S  1
2003.290000	0	water	S  1
2010.719000	0	attention-getter	S  5
2026.714000	0	face	S  4
2042.147000	0	face	S  4
2057.293000	0	face	S  4
2071.858000	0	face	S  4
2087.355000	0	face	S  4
2101.907000	0	face	S  4
2117.654000	0	attention-getter	S  5
2133.312000	0	speech	S  2
2142.460000	0	speech	S  2
2149.970000	0	speech	S  2
2163.476000	0	speech	S  2
2173.984000	0	speech	S  2
2183.406000	0	speech	S  2
2189.412000	0	speech	S  2
2197.923000	0	speech	S  2
2208.925000	0	speech	S  2
2218.433000	0	speech	S  2
2226.449000	0	attention-getter	S  5
2252.053000	0	object	S  3
2266.842000	0	object	S  3
2282.310000	0	object	S  3
2297.754000	0	object	S  3
2312.005000	0	object	S  3
2327.299000	0	object	S  3
2342.865000	0	attention-getter	S  5
2357.454000	0	water	S  1
2369.622000	0	water	S  1
2374.130000	0	water	S  1
2384.054000	0	water	S  1
2394.081000	0	water	S  1
2403.664000	0	water	S  1
2411.073000	0	water	S  1
2419.581000	0	water	S  1
2428.589000	0	water	S  1
2440.596000	0	water	S  1
2450.105000	0	attention-getter	S  5
2467.800000	0	face	S  4
2483.088000	0	face	S  4
2498.012000	0	face	S  4
2513.230000	0	face	S  4
2527.163000	0	face	S  4
2543.374000	0	face	S  4
2558.371000	0	attention-getter	S  5
2570.654000	0	speech	S  2
2583.781000	0	speech	S  2
2591.287000	0	speech	S  2
2598.791000	0	speech	S  2
2607.800000	0	speech	S  2
2617.306000	0	speech	S  2
2628.812000	0	speech	S  2
2637.819000	0	speech	S  2
2647.328000	0	speech	S  2
2655.838000	0	speech	S  2
2663.336000	0	attention-getter	S  5
2684.261000	0	object	S  3
2698.256000	0	object	S  3
2713.679000	0	object	S  3
2728.738000	0	object	S  3
2744.818000	0	object	S  3
2759.867000	0	object	S  3
2774.779000	0	attention-getter	S  5
2790.136000	0	water	S  1
2797.269000	0	water	S  1
2804.771000	0	water	S  1
2809.286000	0	water	S  1
2821.288000	0	water	S  1
2831.297000	0	water	S  1
2839.299000	0	water	S  1
2846.306000	0	water	S  1
2863.322000	0	water	S  1
2878.329000	0	water	S  1
2883.323000	0	attention-getter	S  5
2900.016000	0	face	S  4
2914.201000	0	face	S  4
2929.776000	0	face	S  4
2943.824000	0	face	S  4
2959.627000	0	face	S  4
2975.334000	0	face	S  4
2990.739000	0	attention-getter	S  5
3003.926000	0	speech	S  2
3010.587000	0	speech	S  2
3019.596000	0	speech	S  2
3028.601000	0	speech	S  2
3038.612000	0	speech	S  2
3048.618000	0	speech	S  2
3058.549000	0	speech	S  2
3072.057000	0	speech	S  2
3082.060000	0	speech	S  2
3090.063000	0	speech	S  2
3097.555000	0	attention-getter	S  5
3117.194000	0	object	S  3
3131.592000	0	object	S  3
3145.194000	0	object	S  3
3161.054000	0	object	S  3
3176.642000	0	object	S  3
3192.171000	0	object	S  3
3207.648000	0	attention-getter	S  5
3221.609000	0	water	S  1
3230.752000	0	water	S  1
3241.263000	0	water	S  1
3250.763000	0	water	S  1
3255.266000	0	water	S  1
3264.273000	0	water	S  1
3277.289000	0	water	S  1
3290.284000	0	water	S  1
3296.300000	0	water	S  1
3306.303000	0	water	S  1
3315.290000	0	attention-getter	S  5
3336.034000	0	face	S  4
3350.821000	0	face	S  4
3365.489000	0	face	S  4
3379.790000	0	face	S  4
3395.858000	0	face	S  4
3410.855000	0	face	S  4
3426.856000	0	attention-getter	S  5
3443.103000	0	speech	S  2
3448.739000	0	speech	S  2
3458.253000	0	speech	S  2
3468.756000	0	speech	S  2
3480.763000	0	speech	S  2
3490.270000	0	speech	S  2
3499.779000	0	speech	S  2
3510.786000	0	speech	S  2
3519.793000	0	speech	S  2
3528.308000	0	speech	S  2
3536.278000	0	attention-getter	S  5
3553.887000	0	object	S  3
3569.204000	0	object	S  3
3584.227000	0	object	S  3
3599.710000	0	object	S  3
3613.627000	0	object	S  3
3629.039000	0	object	S  3
3644.662000	0	attention-getter	S  5
3682.423000	0	water	S  1
3696.587000	0	water	S  1
3706.094000	0	water	S  1
3712.602000	0	water	S  1
3727.611000	0	water	S  1
3738.118000	0	water	S  1
3747.123000	0	water	S  1
3752.127000	0	water	S  1
3758.133000	0	water	S  1
3766.640000	0	water	S  1
3776.112000	0	attention-getter	S  5
3810.558000	0	face	S  4
3825.630000	0	face	S  4
3839.959000	0	face	S  4
3855.073000	0	face	S  4
3870.955000	0	face	S  4
3885.276000	0	face	S  4
3901.024000	0	attention-getter	S  5
3938.429000	0	speech	S  2
3949.604000	0	speech	S  2
3956.108000	0	speech	S  2
3965.117000	0	speech	S  2
3974.622000	0	speech	S  2
3980.627000	0	speech	S  2
3988.633000	0	speech	S  2
3998.143000	0	speech	S  2
4007.648000	0	speech	S  2
4017.659000	0	speech	S  2
4031.539000	0	attention-getter	S  5
4052.655000	0	object	S  3
4068.307000	0	object	S  3
4083.804000	0	object	S  3
4097.985000	0	object	S  3
4112.630000	0	object	S  3
4127.514000	0	object	S  3
4142.983000	0	attention-getter	S  5
4151.712000	0	experimenter-pause	S  6
