onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
11.886000	0	attention-getter	S  5
30.559000	0	object	S  3
45.824000	0	object	S  3
60.642000	0	object	S  3
75.212000	0	object	S  3
90.797000	0	object	S  3
107.164000	0	object	S  3
121.805000	0	attention-getter	S  5
134.442000	0	water	S  1
142.227000	0	water	S  1
161.143000	0	water	S  1
170.130000	0	water	S  1
175.658000	0	water	S  1
183.074000	0	water	S  1
191.102000	0	water	S  1
204.041000	0	water	S  1
210.044000	0	water	S  1
215.595000	0	water	S  1
228.169000	0	attention-getter	S  5
246.855000	0	face	S  4
262.879000	0	face	S  4
276.986000	0	face	S  4
293.326000	0	face	S  4
307.863000	0	face	S  4
322.736000	0	face	S  4
338.210000	0	attention-getter	S  5
353.096000	0	speech	S  2
361.248000	0	speech	S  2
370.256000	0	speech	S  2
380.258000	0	speech	S  2
387.224000	0	speech	S  2
397.267000	0	speech	S  2
410.209000	0	speech	S  2
422.742000	0	speech	S  2
429.753000	0	speech	S  2
438.747000	0	speech	S  2
446.817000	0	attention-getter	S  5
475.009000	0	object	S  3
490.428000	0	object	S  3
506.471000	0	object	S  3
522.717000	0	object	S  3
537.216000	0	object	S  3
551.584000	0	object	S  3
566.278000	0	attention-getter	S  5
583.512000	0	water	S  1
593.158000	0	water	S  1
599.635000	0	water	S  1
610.134000	0	water	S  1
624.672000	0	water	S  1
630.670000	0	water	S  1
639.208000	0	water	S  1
646.126000	0	water	S  1
655.130000	0	water	S  1
663.671000	0	water	S  1
677.228000	0	attention-getter	S  5
749.530000	0	face	S  4
763.300000	0	face	S  4
778.900000	0	face	S  4
793.750000	0	face	S  4
809.200000	0	face	S  4
825.087000	0	face	S  4
840.728000	0	attention-getter	S  5
865.375000	0	speech	S  2
874.542000	0	speech	S  2
884.046000	0	speech	S  2
895.558000	0	speech	S  2
906.017000	0	speech	S  2
915.542000	0	speech	S  2
924.019000	0	speech	S  2
930.991000	0	speech	S  2
939.538000	0	speech	S  2
947.497000	0	speech	S  2
958.005000	0	attention-getter	S  5
974.380000	0	object	S  3
989.951000	0	object	S  3
1004.682000	0	object	S  3
1018.427000	0	object	S  3
1033.279000	0	object	S  3
1049.171000	0	object	S  3
1065.045000	0	attention-getter	S  5
1105.080000	0	water	S  1
1112.173000	0	water	S  1
1118.673000	0	water	S  1
1139.690000	0	water	S  1
1155.691000	0	water	S  1
1159.712000	0	water	S  1
1170.202000	0	water	S  1
1176.207000	0	water	S  1
1184.219000	0	water	S  1
1191.717000	0	water	S  1
1198.258000	0	attention-getter	S  5
1223.552000	0	face	S  4
1239.019000	0	face	S  4
1253.444000	0	face	S  4
1269.125000	0	face	S  4
1283.150000	0	face	S  4
1298.846000	0	face	S  4
1314.449000	0	attention-getter	S  5
1336.721000	0	speech	S  2
1344.869000	0	speech	S  2
1353.834000	0	speech	S  2
1361.848000	0	speech	S  2
1373.352000	0	speech	S  2
1383.857000	0	speech	S  2
1392.421000	0	speech	S  2
1398.880000	0	speech	S  2
1412.881000	0	speech	S  2
1421.304000	0	speech	S  2
1429.333000	0	attention-getter	S  5
1465.587000	0	object	S  3
1479.808000	0	object	S  3
1494.726000	0	object	S  3
1510.035000	0	object	S  3
1524.848000	0	object	S  3
1540.202000	0	object	S  3
1555.945000	0	attention-getter	S  5
1589.047000	0	water	S  1
1601.186000	0	water	S  1
1608.191000	0	water	S  1
1615.697000	0	water	S  1
1626.213000	0	water	S  1
1636.708000	0	water	S  1
1649.639000	0	water	S  1
1659.735000	0	water	S  1
1668.160000	0	water	S  1
1676.654000	0	water	S  1
1682.181000	0	attention-getter	S  5
1734.612000	0	face	S  4
1749.198000	0	face	S  4
1764.714000	0	face	S  4
1779.461000	0	face	S  4
1794.772000	0	face	S  4
1810.300000	0	face	S  4
1825.265000	0	attention-getter	S  5
1840.879000	0	experimenter-pause	S  6
2056.400500	0	New Segment	boundary
2056.401000	0	New Segment	boundary
2056.401000	0	Comment	ControlBox is not connected via USB
2148.775000	0	attention-getter	S  5
2187.981000	0	speech	S  2
2199.638000	0	speech	S  2
2209.146000	0	speech	S  2
2218.653000	0	speech	S  2
2227.077000	0	speech	S  2
2236.583000	0	speech	S  2
2244.589000	0	speech	S  2
2253.094000	0	speech	S  2
2261.608000	0	speech	S  2
2274.612000	0	speech	S  2
2281.622000	0	attention-getter	S  5
2366.808000	0	object	S  3
2381.100000	0	object	S  3
2396.297000	0	object	S  3
2411.932000	0	object	S  3
2426.486000	0	object	S  3
2442.383000	0	object	S  3
2457.283000	0	attention-getter	S  5
2474.435000	0	water	S  1
2484.104000	0	water	S  1
2492.612000	0	water	S  1
2498.619000	0	water	S  1
2507.627000	0	water	S  1
2520.047000	0	water	S  1
2530.058000	0	water	S  1
2539.564000	0	water	S  1
2547.071000	0	water	S  1
2557.585000	0	water	S  1
2568.572000	0	attention-getter	S  5
2588.355000	0	face	S  4
2603.820000	0	face	S  4
2619.995000	0	face	S  4
2634.665000	0	face	S  4
2649.720000	0	face	S  4
2664.315000	0	face	S  4
2678.793000	0	attention-getter	S  5
2694.970000	0	speech	S  2
2703.098000	0	speech	S  2
2709.586000	0	speech	S  2
2717.612000	0	speech	S  2
2727.620000	0	speech	S  2
2737.619000	0	speech	S  2
2750.630000	0	speech	S  2
2760.144000	0	speech	S  2
2770.144000	0	speech	S  2
2777.152000	0	speech	S  2
2788.141000	0	attention-getter	S  5
2813.923000	0	object	S  3
2828.920000	0	object	S  3
2843.970000	0	object	S  3
2859.245000	0	object	S  3
2874.660000	0	object	S  3
2889.389000	0	object	S  3
2904.502000	0	attention-getter	S  5
2930.484000	0	water	S  1
2940.182000	0	water	S  1
2947.113000	0	water	S  1
2960.618000	0	water	S  1
2971.625000	0	water	S  1
2983.134000	0	water	S  1
2990.139000	0	water	S  1
3000.151000	0	water	S  1
3011.652000	0	water	S  1
3019.658000	0	water	S  1
3024.139000	0	attention-getter	S  5
3027.641000	0	experimenter-pause	S  6
