onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
1071.939000	0	attention-getter	S  5
1101.412000	0	face	S  4
1116.279000	0	face	S  4
1131.415000	0	face	S  4
1147.547000	0	face	S  4
1162.071000	0	face	S  4
1177.180000	0	face	S  4
1192.858000	0	attention-getter	S  5
1206.816000	0	speech	S  2
1214.974000	0	speech	S  2
1224.436000	0	speech	S  2
1233.987000	0	speech	S  2
1240.482000	0	speech	S  2
1253.984000	0	speech	S  2
1264.433000	0	speech	S  2
1273.923000	0	speech	S  2
1281.952000	0	speech	S  2
1292.955000	0	speech	S  2
1300.538000	0	attention-getter	S  5
1314.346000	0	object	S  3
1329.128000	0	object	S  3
1343.560000	0	object	S  3
1358.694000	0	object	S  3
1374.919000	0	object	S  3
1391.270000	0	object	S  3
1406.009000	0	attention-getter	S  5
1417.945000	0	water	S  1
1425.128000	0	water	S  1
1434.593000	0	water	S  1
1448.499000	0	water	S  1
1456.034000	0	water	S  1
1461.583000	0	water	S  1
1473.085000	0	water	S  1
1483.123000	0	water	S  1
1490.556000	0	water	S  1
1504.051000	0	water	S  1
1511.601000	0	attention-getter	S  5
1535.766000	0	face	S  4
1550.752000	0	face	S  4
1564.986000	0	face	S  4
1581.020000	0	face	S  4
1595.114000	0	face	S  4
1611.053000	0	face	S  4
1627.080000	0	attention-getter	S  5
1637.241000	0	speech	S  2
1650.893000	0	speech	S  2
1660.880000	0	speech	S  2
1669.912000	0	speech	S  2
1675.892000	0	speech	S  2
1683.438000	0	speech	S  2
1693.361000	0	speech	S  2
1701.906000	0	speech	S  2
1713.423000	0	speech	S  2
1721.869000	0	speech	S  2
1730.421000	0	attention-getter	S  5
1751.886000	0	object	S  3
1766.896000	0	object	S  3
1782.793000	0	object	S  3
1797.916000	0	object	S  3
1812.520000	0	object	S  3
1828.139000	0	object	S  3
1843.021000	0	attention-getter	S  5
1869.753000	0	water	S  1
1876.392000	0	water	S  1
1881.416000	0	water	S  1
1888.318000	0	water	S  1
1893.897000	0	water	S  1
1911.908000	0	water	S  1
1920.904000	0	water	S  1
1928.883000	0	water	S  1
1943.422000	0	water	S  1
1954.377000	0	water	S  1
1963.917000	0	attention-getter	S  5
2039.206000	0	face	S  4
2054.145000	0	face	S  4
2069.452000	0	face	S  4
2084.645000	0	face	S  4
2098.864000	0	face	S  4
2113.599000	0	face	S  4
2130.038000	0	attention-getter	S  5
2150.265000	0	speech	S  2
2159.430000	0	speech	S  2
2166.932000	0	speech	S  2
2175.358000	0	speech	S  2
2182.385000	0	speech	S  2
2190.375000	0	speech	S  2
2200.382000	0	speech	S  2
2214.388000	0	speech	S  2
2223.398000	0	speech	S  2
2234.403000	0	speech	S  2
2243.946000	0	attention-getter	S  5
2270.613000	0	object	S  3
2286.548000	0	object	S  3
2301.301000	0	object	S  3
2315.478000	0	object	S  3
2331.871000	0	object	S  3
2346.055000	0	object	S  3
2361.787000	0	attention-getter	S  5
2375.067000	0	water	S  1
2387.745000	0	water	S  1
2394.687000	0	water	S  1
2404.694000	0	water	S  1
2413.697000	0	water	S  1
2421.798000	0	water	S  1
2430.213000	0	water	S  1
2442.721000	0	water	S  1
2452.142000	0	water	S  1
2457.231000	0	water	S  1
2468.183000	0	attention-getter	S  5
2516.039000	0	face	S  4
2530.835000	0	face	S  4
2547.261000	0	face	S  4
2561.777000	0	face	S  4
2577.241000	0	face	S  4
2591.547000	0	face	S  4
2606.554000	0	attention-getter	S  5
2623.950000	0	speech	S  2
2632.609000	0	speech	S  2
2640.530000	0	speech	S  2
2647.538000	0	speech	S  2
2656.547000	0	speech	S  2
2667.553000	0	speech	S  2
2677.561000	0	speech	S  2
2686.565000	0	speech	S  2
2695.073000	0	speech	S  2
2704.080000	0	speech	S  2
2716.606000	0	attention-getter	S  5
2745.885000	0	experimenter-pause	S  6
2847.276000	0	attention-getter	S  5
2896.055000	0	object	S  3
2912.088000	0	object	S  3
2926.295000	0	object	S  3
2940.193000	0	object	S  3
2955.579000	0	object	S  3
2970.691000	0	object	S  3
2986.918000	0	attention-getter	S  5
3002.563000	0	water	S  1
3013.294000	0	water	S  1
3026.227000	0	water	S  1
3037.236000	0	water	S  1
3045.257000	0	water	S  1
3052.749000	0	water	S  1
3065.674000	0	water	S  1
3074.183000	0	water	S  1
3084.685000	0	water	S  1
3088.689000	0	water	S  1
3096.704000	0	attention-getter	S  5
3165.867000	0	face	S  4
3180.112000	0	face	S  4
3196.199000	0	face	S  4
3212.227000	0	face	S  4
3226.828000	0	face	S  4
3241.177000	0	face	S  4
3256.729000	0	attention-getter	S  5
3269.033000	0	speech	S  2
3279.162000	0	speech	S  2
3289.170000	0	speech	S  2
3298.681000	0	speech	S  2
3310.688000	0	speech	S  2
3317.692000	0	speech	S  2
3326.197000	0	speech	S  2
3332.703000	0	speech	S  2
3341.229000	0	speech	S  2
3348.720000	0	speech	S  2
3362.722000	0	attention-getter	S  5
3401.857000	0	object	S  3
3415.797000	0	object	S  3
3431.978000	0	object	S  3
3446.872000	0	object	S  3
3460.938000	0	object	S  3
3476.863000	0	object	S  3
3492.189000	0	attention-getter	S  5
3513.565000	0	water	S  1
3518.256000	0	water	S  1
3526.682000	0	water	S  1
3543.293000	0	water	S  1
3551.702000	0	water	S  1
3558.708000	0	water	S  1
3580.717000	0	water	S  1
3587.224000	0	water	S  1
3594.733000	0	water	S  1
3598.736000	0	water	S  1
3607.225000	0	attention-getter	S  5
3623.300000	0	face	S  4
3638.640000	0	face	S  4
3653.556000	0	face	S  4
3668.511000	0	face	S  4
3684.558000	0	face	S  4
3699.614000	0	face	S  4
3714.190000	0	attention-getter	S  5
3731.924000	0	speech	S  2
3742.105000	0	speech	S  2
3752.594000	0	speech	S  2
3764.101000	0	speech	S  2
3771.114000	0	speech	S  2
3781.115000	0	speech	S  2
3790.621000	0	speech	S  2
3799.135000	0	speech	S  2
3809.555000	0	speech	S  2
3818.057000	0	speech	S  2
3826.044000	0	attention-getter	S  5
3842.055000	0	experimenter-pause	S  6
