onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
67.951000	0	water	S  1
79.549000	0	water	S  1
84.573000	0	water	S  1
94.092000	0	water	S  1
102.121000	0	water	S  1
110.085000	0	water	S  1
124.101000	0	water	S  1
133.563000	0	water	S  1
144.066000	0	water	S  1
156.072000	0	water	S  1
161.140000	0	attention-getter	S  5
173.056000	0	object	S  3
187.448000	0	object	S  3
202.611000	0	object	S  3
218.063000	0	object	S  3
233.666000	0	object	S  3
248.755000	0	object	S  3
264.473000	0	attention-getter	S  5
277.350000	0	speech	S  2
285.496000	0	speech	S  2
291.498000	0	speech	S  2
302.002000	0	speech	S  2
309.509000	0	speech	S  2
324.511000	0	speech	S  2
335.470000	0	speech	S  2
343.550000	0	speech	S  2
353.476000	0	speech	S  2
362.479000	0	speech	S  2
370.533000	0	attention-getter	S  5
380.828000	0	face	S  4
396.713000	0	face	S  4
413.501000	0	face	S  4
427.926000	0	face	S  4
442.776000	0	face	S  4
457.746000	0	face	S  4
472.079000	0	attention-getter	S  5
483.642000	0	water	S  1
491.303000	0	water	S  1
497.781000	0	water	S  1
508.743000	0	water	S  1
519.251000	0	water	S  1
530.784000	0	water	S  1
540.809000	0	water	S  1
550.291000	0	water	S  1
561.282000	0	water	S  1
570.236000	0	water	S  1
577.345000	0	attention-getter	S  5
586.516000	0	object	S  3
601.443000	0	object	S  3
616.879000	0	object	S  3
633.414000	0	object	S  3
647.966000	0	object	S  3
662.483000	0	object	S  3
677.829000	0	attention-getter	S  5
689.307000	0	speech	S  2
697.436000	0	speech	S  2
703.885000	0	speech	S  2
713.457000	0	speech	S  2
727.437000	0	speech	S  2
735.981000	0	speech	S  2
746.472000	0	speech	S  2
754.449000	0	speech	S  2
765.479000	0	speech	S  2
774.457000	0	speech	S  2
782.484000	0	attention-getter	S  5
794.396000	0	face	S  4
809.855000	0	face	S  4
824.350000	0	face	S  4
839.367000	0	face	S  4
855.230000	0	face	S  4
870.592000	0	face	S  4
885.847000	0	attention-getter	S  5
899.467000	0	water	S  1
906.627000	0	water	S  1
919.593000	0	water	S  1
928.044000	0	water	S  1
939.102000	0	water	S  1
946.591000	0	water	S  1
951.664000	0	water	S  1
961.142000	0	water	S  1
972.659000	0	water	S  1
983.154000	0	water	S  1
993.133000	0	attention-getter	S  5
1005.564000	0	object	S  3
1019.685000	0	object	S  3
1034.672000	0	object	S  3
1049.228000	0	object	S  3
1064.006000	0	object	S  3
1080.463000	0	object	S  3
1096.260000	0	attention-getter	S  5
1105.856000	0	speech	S  2
1114.475000	0	speech	S  2
1125.939000	0	speech	S  2
1134.945000	0	speech	S  2
1142.450000	0	speech	S  2
1149.560000	0	speech	S  2
1157.964000	0	speech	S  2
1168.480000	0	speech	S  2
1176.976000	0	speech	S  2
1186.488000	0	speech	S  2
1199.524000	0	attention-getter	S  5
1214.262000	0	face	S  4
1228.325000	0	face	S  4
1242.423000	0	face	S  4
1258.679000	0	face	S  4
1273.917000	0	face	S  4
1288.792000	0	face	S  4
1305.263000	0	attention-getter	S  5
1339.720000	0	water	S  1
1347.852000	0	water	S  1
1353.430000	0	water	S  1
1358.859000	0	water	S  1
1367.366000	0	water	S  1
1375.941000	0	water	S  1
1398.303000	0	water	S  1
1405.306000	0	water	S  1
1410.314000	0	water	S  1
1427.324000	0	water	S  1
1432.854000	0	attention-getter	S  5
1452.213000	0	object	S  3
1467.620000	0	object	S  3
1482.161000	0	object	S  3
1497.074000	0	object	S  3
1511.402000	0	object	S  3
1526.508000	0	object	S  3
1543.014000	0	attention-getter	S  5
1563.260000	0	speech	S  2
1577.400000	0	speech	S  2
1586.355000	0	speech	S  2
1595.862000	0	speech	S  2
1602.448000	0	speech	S  2
1610.874000	0	speech	S  2
1617.883000	0	speech	S  2
1630.387000	0	speech	S  2
1639.895000	0	speech	S  2
1648.401000	0	speech	S  2
1656.426000	0	attention-getter	S  5
1676.143000	0	face	S  4
1691.071000	0	face	S  4
1706.771000	0	face	S  4
1721.622000	0	face	S  4
1737.999000	0	face	S  4
1752.522000	0	face	S  4
1766.883000	0	attention-getter	S  5
1771.677000	0	experimenter-pause	S  6
2181.856000	0	attention-getter	S  5
2216.072000	0	water	S  1
2220.722000	0	water	S  1
2232.229000	0	water	S  1
2239.731000	0	water	S  1
2244.738000	0	water	S  1
2251.747000	0	water	S  1
2261.294000	0	water	S  1
2276.278000	0	water	S  1
2283.183000	0	water	S  1
2289.785000	0	water	S  1
2308.713000	0	attention-getter	S  5
2320.298000	0	object	S  3
2334.105000	0	object	S  3
2349.297000	0	object	S  3
2364.978000	0	object	S  3
2379.591000	0	object	S  3
2394.921000	0	object	S  3
2411.009000	0	attention-getter	S  5
2423.379000	0	speech	S  2
2430.538000	0	speech	S  2
2440.546000	0	speech	S  2
2451.474000	0	speech	S  2
2461.980000	0	speech	S  2
2470.987000	0	speech	S  2
2479.991000	0	speech	S  2
2488.100000	0	speech	S  2
2495.005000	0	speech	S  2
2504.516000	0	speech	S  2
2517.024000	0	attention-getter	S  5
2529.319000	0	face	S  4
2543.789000	0	face	S  4
2559.487000	0	face	S  4
2574.648000	0	face	S  4
2589.827000	0	face	S  4
2605.030000	0	face	S  4
2620.009000	0	attention-getter	S  5
2646.368000	0	water	S  1
2655.545000	0	water	S  1
2669.548000	0	water	S  1
2679.555000	0	water	S  1
2686.978000	0	water	S  1
2695.489000	0	water	S  1
2705.491000	0	water	S  1
2713.001000	0	water	S  1
2719.511000	0	water	S  1
2734.015000	0	water	S  1
2740.013000	0	attention-getter	S  5
2755.497000	0	object	S  3
2771.609000	0	object	S  3
2785.699000	0	object	S  3
2800.667000	0	object	S  3
2816.021000	0	object	S  3
2831.586000	0	object	S  3
2846.167000	0	attention-getter	S  5
2869.342000	0	speech	S  2
2877.447000	0	speech	S  2
2884.957000	0	speech	S  2
2895.465000	0	speech	S  2
2905.978000	0	speech	S  2
2913.979000	0	speech	S  2
2922.991000	0	speech	S  2
2932.495000	0	speech	S  2
2943.002000	0	speech	S  2
2955.016000	0	speech	S  2
2962.501000	0	attention-getter	S  5
2978.865000	0	face	S  4
2993.101000	0	face	S  4
3007.547000	0	face	S  4
3022.224000	0	face	S  4
3037.631000	0	face	S  4
3053.462000	0	face	S  4
3069.575000	0	attention-getter	S  5
3115.069000	0	water	S  1
3124.699000	0	water	S  1
3129.721000	0	water	S  1
3139.230000	0	water	S  1
3149.744000	0	water	S  1
3161.247000	0	water	S  1
3169.254000	0	water	S  1
3177.256000	0	water	S  1
3189.269000	0	water	S  1
3203.276000	0	water	S  1
3208.255000	0	attention-getter	S  5
3218.345000	0	experimenter-pause	S  6
3598.152000	0	attention-getter	S  5
3635.575000	0	object	S  3
3650.663000	0	object	S  3
3664.934000	0	object	S  3
3680.971000	0	object	S  3
3695.663000	0	object	S  3
3710.175000	0	object	S  3
3726.250000	0	attention-getter	S  5
3740.177000	0	speech	S  2
3747.830000	0	speech	S  2
3758.835000	0	speech	S  2
3764.841000	0	speech	S  2
3773.848000	0	speech	S  2
3783.858000	0	speech	S  2
3792.369000	0	speech	S  2
3807.375000	0	speech	S  2
3815.377000	0	speech	S  2
3825.887000	0	speech	S  2
3833.857000	0	attention-getter	S  5
3874.002000	0	face	S  4
3889.060000	0	face	S  4
3905.249000	0	face	S  4
3920.266000	0	face	S  4
3935.675000	0	face	S  4
3949.634000	0	face	S  4
3964.509000	0	attention-getter	S  5
4001.234000	0	water	S  1
4010.938000	0	water	S  1
4017.451000	0	water	S  1
4028.455000	0	water	S  1
4039.458000	0	water	S  1
4047.388000	0	water	S  1
4057.899000	0	water	S  1
4069.406000	0	water	S  1
4078.412000	0	water	S  1
4088.411000	0	water	S  1
4095.372000	0	attention-getter	S  5
4101.960000	0	experimenter-pause	S  6
