onset	duration	trial_type	value
0.001000	0	New Segment	boundary
0.001000	0	Comment	ControlBox is not connected via USB
159.685000	0	attention-getter	S  5
184.336000	0	face	S  4
199.072000	0	face	S  4
214.513000	0	face	S  4
229.356000	0	face	S  4
243.962000	0	face	S  4
259.043000	0	face	S  4
275.820000	0	attention-getter	S  5
287.283000	0	speech	S  2
297.085000	0	speech	S  2
304.436000	0	speech	S  2
312.425000	0	speech	S  2
321.896000	0	speech	S  2
332.953000	0	speech	S  2
341.438000	0	speech	S  2
347.398000	0	speech	S  2
355.939000	0	speech	S  2
365.981000	0	speech	S  2
380.470000	0	attention-getter	S  5
398.605000	0	object	S  3
413.541000	0	object	S  3
428.881000	0	object	S  3
443.005000	0	object	S  3
459.173000	0	object	S  3
475.044000	0	object	S  3
489.922000	0	attention-getter	S  5
503.148000	0	water	S  1
510.761000	0	water	S  1
521.775000	0	water	S  1
526.803000	0	water	S  1
534.308000	0	water	S  1
548.281000	0	water	S  1
558.285000	0	water	S  1
564.751000	0	water	S  1
572.251000	0	water	S  1
578.819000	0	water	S  1
597.371000	0	attention-getter	S  5
714.316000	0	face	S  4
729.658000	0	face	S  4
744.039000	0	face	S  4
759.082000	0	face	S  4
773.873000	0	face	S  4
789.952000	0	face	S  4
805.291000	0	attention-getter	S  5
816.563000	0	speech	S  2
827.705000	0	speech	S  2
839.712000	0	speech	S  2
847.221000	0	speech	S  2
858.181000	0	speech	S  2
867.722000	0	speech	S  2
876.185000	0	speech	S  2
883.189000	0	speech	S  2
892.213000	0	speech	S  2
901.224000	0	speech	S  2
909.675000	0	attention-getter	S  5
929.317000	0	object	S  3
943.713000	0	object	S  3
959.325000	0	object	S  3
974.913000	0	object	S  3
989.921000	0	object	S  3
1005.183000	0	object	S  3
1020.741000	0	attention-getter	S  5
1041.181000	0	water	S  1
1051.828000	0	water	S  1
1057.836000	0	water	S  1
1066.356000	0	water	S  1
1076.872000	0	water	S  1
1086.328000	0	water	S  1
1095.263000	0	water	S  1
1106.879000	0	water	S  1
1118.291000	0	water	S  1
1127.293000	0	water	S  1
1134.328000	0	attention-getter	S  5
1155.075000	0	face	S  4
1169.932000	0	face	S  4
1185.343000	0	face	S  4
1201.001000	0	face	S  4
1215.806000	0	face	S  4
1230.477000	0	face	S  4
1245.991000	0	attention-getter	S  5
1261.095000	0	speech	S  2
1270.218000	0	speech	S  2
1277.263000	0	speech	S  2
1289.297000	0	speech	S  2
1299.739000	0	speech	S  2
1307.665000	0	speech	S  2
1319.671000	0	speech	S  2
1327.678000	0	speech	S  2
1336.185000	0	speech	S  2
1344.794000	0	speech	S  2
1354.733000	0	attention-getter	S  5
1404.673000	0	object	S  3
1419.285000	0	object	S  3
1434.541000	0	object	S  3
1450.660000	0	object	S  3
1465.702000	0	object	S  3
1480.746000	0	object	S  3
1495.359000	0	attention-getter	S  5
1554.053000	0	water	S  1
1568.191000	0	water	S  1
1582.695000	0	water	S  1
1589.202000	0	water	S  1
1598.770000	0	water	S  1
1606.215000	0	water	S  1
1617.213000	0	water	S  1
1623.145000	0	water	S  1
1632.152000	0	water	S  1
1641.154000	0	water	S  1
1647.685000	0	attention-getter	S  5
1665.155000	0	face	S  4
1679.458000	0	face	S  4
1694.020000	0	face	S  4
1708.775000	0	face	S  4
1723.899000	0	face	S  4
1740.596000	0	face	S  4
1755.919000	0	attention-getter	S  5
1765.851000	0	speech	S  2
1771.499000	0	speech	S  2
1782.506000	0	speech	S  2
1790.514000	0	speech	S  2
1799.521000	0	speech	S  2
1808.443000	0	speech	S  2
1817.949000	0	speech	S  2
1826.958000	0	speech	S  2
1839.969000	0	speech	S  2
1848.972000	0	speech	S  2
1858.999000	0	attention-getter	S  5
1878.689000	0	object	S  3
1894.141000	0	object	S  3
1909.028000	0	object	S  3
1923.533000	0	object	S  3
1939.604000	0	object	S  3
1954.461000	0	object	S  3
1969.582000	0	attention-getter	S  5
1990.119000	0	water	S  1
2000.344000	0	water	S  1
2012.343000	0	water	S  1
2022.264000	0	water	S  1
2032.272000	0	water	S  1
2041.276000	0	water	S  1
2045.784000	0	water	S  1
2058.292000	0	water	S  1
2068.313000	0	water	S  1
2076.723000	0	water	S  1
2084.739000	0	attention-getter	S  5
2105.087000	0	face	S  4
2119.009000	0	face	S  4
2134.449000	0	face	S  4
2149.335000	0	face	S  4
2164.762000	0	face	S  4
2180.567000	0	face	S  4
2196.191000	0	attention-getter	S  5
2210.351000	0	speech	S  2
2219.991000	0	speech	S  2
2233.000000	0	speech	S  2
2242.505000	0	speech	S  2
2251.012000	0	speech	S  2
2260.018000	0	speech	S  2
2269.023000	0	speech	S  2
2274.977000	0	speech	S  2
2283.456000	0	speech	S  2
2294.061000	0	speech	S  2
2303.475000	0	attention-getter	S  5
2335.312000	0	object	S  3
2350.311000	0	object	S  3
2365.841000	0	object	S  3
2381.393000	0	object	S  3
2396.324000	0	object	S  3
2411.225000	0	object	S  3
2426.099000	0	attention-getter	S  5
2447.345000	0	water	S  1
2464.000000	0	water	S  1
2469.579000	0	water	S  1
2478.008000	0	water	S  1
2483.513000	0	water	S  1
2490.528000	0	water	S  1
2512.954000	0	water	S  1
2517.462000	0	water	S  1
2525.463000	0	water	S  1
2534.467000	0	water	S  1
2540.973000	0	attention-getter	S  5
2579.437000	0	face	S  4
2594.221000	0	face	S  4
2609.691000	0	face	S  4
2624.910000	0	face	S  4
2639.744000	0	face	S  4
2654.703000	0	face	S  4
2669.896000	0	attention-getter	S  5
2687.694000	0	speech	S  2
2696.833000	0	speech	S  2
2704.343000	0	speech	S  2
2712.347000	0	speech	S  2
2721.351000	0	speech	S  2
2728.859000	0	speech	S  2
2737.368000	0	speech	S  2
2748.877000	0	speech	S  2
2761.883000	0	speech	S  2
2772.307000	0	speech	S  2
2780.807000	0	attention-getter	S  5
2793.033000	0	object	S  3
2808.697000	0	object	S  3
2822.341000	0	object	S  3
2838.071000	0	object	S  3
2852.433000	0	object	S  3
2867.815000	0	object	S  3
2883.506000	0	attention-getter	S  5
2897.066000	0	water	S  1
2908.236000	0	water	S  1
2913.244000	0	water	S  1
2921.749000	0	water	S  1
2929.755000	0	water	S  1
2938.760000	0	water	S  1
2952.690000	0	water	S  1
2963.695000	0	water	S  1
2972.706000	0	water	S  1
2984.209000	0	water	S  1
2990.203000	0	attention-getter	S  5
3018.793000	0	face	S  4
3034.118000	0	face	S  4
3049.040000	0	face	S  4
3064.373000	0	face	S  4
3080.087000	0	face	S  4
3094.879000	0	face	S  4
3109.214000	0	attention-getter	S  5
3124.108000	0	speech	S  2
3131.731000	0	speech	S  2
3141.746000	0	speech	S  2
3156.253000	0	speech	S  2
3167.257000	0	speech	S  2
3177.266000	0	speech	S  2
3185.272000	0	speech	S  2
3193.778000	0	speech	S  2
3202.284000	0	speech	S  2
3211.791000	0	speech	S  2
3217.778000	0	attention-getter	S  5
3252.027000	0	object	S  3
3266.595000	0	object	S  3
3282.625000	0	object	S  3
3298.277000	0	object	S  3
3312.332000	0	object	S  3
3328.184000	0	object	S  3
3342.372000	0	attention-getter	S  5
3363.105000	0	water	S  1
3370.254000	0	water	S  1
3381.246000	0	water	S  1
3388.756000	0	water	S  1
3407.271000	0	water	S  1
3421.282000	0	water	S  1
3428.780000	0	water	S  1
3435.286000	0	water	S  1
3440.295000	0	water	S  1
3450.298000	0	water	S  1
3456.777000	0	attention-getter	S  5
3488.754000	0	face	S  4
3504.230000	0	face	S  4
3519.344000	0	face	S  4
3533.458000	0	face	S  4
3549.169000	0	face	S  4
3564.071000	0	face	S  4
3579.233000	0	attention-getter	S  5
3598.805000	0	speech	S  2
3611.000000	0	speech	S  2
3620.003000	0	speech	S  2
3628.509000	0	speech	S  2
3638.017000	0	speech	S  2
3649.442000	0	speech	S  2
3656.950000	0	speech	S  2
3665.952000	0	speech	S  2
3674.962000	0	speech	S  2
3686.468000	0	speech	S  2
3693.442000	0	attention-getter	S  5
3696.535000	0	experimenter-pause	S  6
